公告id	甲方	乙方	项目名称	合同名称	合同金额上限	合同金额下限	联合体成员
1011670	湛江奥里油发电厂筹建办公室	武汉凯迪电力股份有限公司	湛江奥里油发电厂2600MW工程烟气脱硫总承包工程				
1022657		中国水利水电第十六工程局有限公司	丰满水电站全面治理(重建)工程大坝土建及金属结构安装项目		2053000000	2053000000	
1029277	国网福建省电力有限公司物资部	福建中能电气股份有限公司	国网福建省电力有限公司2013年第三批协议库存物资招标采购项目		16783900	16783900	
10385	合肥万达城投资有限公司	深圳艾特凡斯智能科技有限公司	合肥万达室内电影乐园飞行剧场和互动剧场(含公共区域)项目室内设计、建造工程	合肥万达室内电影乐园飞行剧场和互动剧场(含公共区域)项目室内设计建造工程合同	126900000	126900000	
1039009	广州市花都区供电局路灯管理所	广州市重盈工元节能科技有限公司	广州市花都区市政道路LED照明节能改造EMC模式采购项目		42421000	42421000	
10509225	苏州市轨道交通集团有限公司	浙江金盾风机股份有限公司		苏州市轨道交通3号线工程风机采购项目订货合同	30027569	30027569	
1073083	中国移动通信集团广东有限公司广州分公司	高新兴科技集团股份有限公司	智慧广州视频监控系统集成合作项目标段				
10796288	江苏省无锡惠山经济开发区管理委员会	美尚生态景观股份有限公司	无锡古庄生态农业科技园PPP项目				
10803566	北京华生恒业科技有限公司	吉林紫鑫药业股份有限公司		测序仪销售合同	2779800	2779800	
10806278	山东高速股份有限公司	山东省公路桥梁建设有限公司	山东高速股份有限公司济南至青岛高速公路改扩建主体工程项目		2052369697.29	2052369697.29	
1087032	肇庆高新技术产业开发区建设工程交易中心	广东水电二局股份有限公司	肇庆高新区城市环境综合整治项目		1354250000	1354250000	广东恒广源投资有限公司、恒广源公司、上海广盈投资控股(集团)有限公司、北京市市政工程设计研究总院有限公司
1087473		广州市鸿利光电股份有限公司	广州市中心城区路灯节能改造服务项目				
1089404	杭州市钱江新城建设指挥部	腾达建设集团股份有限公司	钱江路延伸线(三新路——观潮路)道路工程二标				
1091220	深圳雷曼节能发展有限公司	东莞勤上光电股份有限公司	狮山镇公共照明领域智能化LED路灯节能改造合同能源管理采购项目		50800000	50800000	
1092987	中国银行股份有限公司	广州广电运通金融电子股份有限公司		中国银行取款机设备采购合同	293000000	293000000	
1095722		上海建工集团股份有限公司	周家嘴路越江隧道新建工程		1395998532	1395998532	
1097087	深圳市银广厦建筑工程有限公司	深圳市迪威视讯股份有限公司	贵州碧江经济开发区“智慧产业园”(一期)工程	本溪市公安局平安城市视频监控系统建设工程项目	394920000	394920000	深圳市银广厦建筑工程有限公司
