公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
100809	中国平安人寿保险股份有限公司	平安人寿	2015-03-20	55.25	691380	12808620	0.0495
1017839	诚威国际投资有限公司	诚威国际	2013-11-30	17.48	126700		
1017839	诚威国际投资有限公司	诚威国际	2013-12-31	17.71	674372		
1017839	诚威国际投资有限公司	诚威国际	2014-01-23	19.82	635000	12945100	0.0919
1021605	广州诚信创业投资有限公司	诚信创投	2014-01-21	11.67	1920000		
1021605	广州诚信创业投资有限公司	诚信创投	2014-01-22	12.29	250000	8396000	0.0486
1021759	华谊兄弟传媒股份有限公司	华谊兄弟	2013-06-17	31	3000000		
1021759	华谊兄弟传媒股份有限公司	华谊兄弟	2014-01-21	32.1	7700000	68634400	0.0974
105152	广州海印实业集团有限公司	海印集团	2015-03-10	12.24	6942300		
105152	广州海印实业集团有限公司	海印集团	2015-03-24	16.37	12220000		
105152	广州海印实业集团有限公司	海印集团	2015-03-25	15.42	12970000	581525444	0.4911
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-02		2056000		
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-04		1312700		
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-05		1678812		
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-09		8488		
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-17		50000		
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-18		276372		
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-23		1506192		
108271	浙江大东南集团诸暨贸易有限公司	浙江大东南集团有限公司	2015-03-24		1367402	267168859	0.3476
108271	浙江大东南集团诸暨贸易有限公司	诸暨贸易	2015-01-26		900000		
108271	浙江大东南集团诸暨贸易有限公司	诸暨贸易	2015-02-13		140000		
108271	浙江大东南集团诸暨贸易有限公司	诸暨贸易	2015-02-16		2003945	0	0.0
1092560	诚威国际投资有限公司	诚威国际	2013-08-30	11.86	419200		
1092560	诚威国际投资有限公司	诚威国际	2013-09-30	12.11	253785		
1092560	诚威国际投资有限公司	诚威国际	2013-10-30	13.65	477862		
1092560	诚威国际投资有限公司	诚威国际	2013-11-28	16.02	332464	14381199	0.1021
1100502	北京华康瑞宏投资有限公司	华康瑞宏	2013-10-24	11.24	6400000	10100000	0.0777
1103488	广东省医药保健品进出口公司	省医保	2012-12-27	8.86	1186500		
1103488	广东省医药保健品进出口公司	省医保	2012-12-28	7.98	145500		
1103488	广东省医药保健品进出口公司	省医保	2013-09-24	14.91	50000		
1103488	广东省医药保健品进出口公司	省医保	2013-09-25	14.94	410000		
1103488	广东省医药保健品进出口公司	省医保	2013-09-26	14.93	250100	121528520000	0.0821
1104726	香港优创投资集团有限公司	香港优创	2013-09-13	4.28	40000000	161955600	0.1446
1110092	伊藤忠金属株式会社	伊藤忠金属	2012-05-17		6800000		
1110092	伊藤忠(中国)集团有限公司	伊藤忠中国	2012-12-19		9860000	3740000	0.011
1111720	深圳市君利得商贸有限公司	君利得	2013-08-20		6000000		
1111720	深圳市君利得商贸有限公司	君利得	2013-08-22		3937500	559700	0.28
1112153	深圳广聚投资控股有限公司	广聚控股	2009-12-21		6027300	112597600	0.1868
1113732	厦门三微创业投资有限公司	三微创投	2011-12-19	25.12	600000	2916300	0.0555
1115078	泰康人寿保险股份有限公司	泰康人寿	2012-12-12	6.98	3443628	6556372	0.0328
1120748	深圳市创新投资集团有限公司	深圳创新投	2011-12-07	22.495	565000	3767300	0.0718
1124431	昆山泰禾投资有限公司	泰禾投资	2010-11-15	15.97	155900		
1124431	昆山泰禾投资有限公司	泰禾投资	2010-11-17	16.98	667650		
1124431	昆山泰禾投资有限公司	泰禾投资	2010-11-18	16.32	500000	6573950	0.073
1133779	INTELCAPITAL(CAYMAN)CORPORATION	INTEL	2013-07-17	15.06	855000		
1133779	INTELCAPITAL(CAYMAN)CORPORATION	INTEL	2013-07-17	15.06	1440000	5588820	0.0499
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2012-06-08	12.32	163000		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2012-09-07	11.03	325120		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2012-09-10	10.99	85960		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2012-11-20	8.6	550000		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2013-05-31	12.08	150000		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2013-06-03	12.28	100000		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2013-06-25	11.42	118600		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2013-06-26	12.22	525000		
1138218	新疆东方世纪股权投资合伙企业(有限合伙)	新疆东方世纪	2013-06-27	12.13	131400	17430920	0.0882
1141380	深圳市创新投资集团有限公司	深圳创新投	2012-11-16	9.21	418600	4431900	0.0473
1147502	国网深圳能源发展集团有限公司	国网能源	2009-09-07		6092200	42926100	0.0712
1148508	北京君慧创业投资中心	君慧创投	2012-06-05	9.9	3740000	18744000	0.0554
1148508	联想控股有限公司	联想控股	2012-06-05	9.9	1360000	6816000	0.0202
1154149	新疆维实创业投资股份有限公司	新疆维实	2012-08-02	16.65	2700000		
1154149	新疆维实创业投资股份有限公司	新疆维实	2012-08-10	17.8	3200000		
1154149	新疆维实创业投资股份有限公司	新疆维实	2012-09-06	17.8	1200000		
1154149	新疆维实创业投资股份有限公司	新疆维实	2012-09-07	18.01	2000000		
1154149	新疆维实创业投资股份有限公司	新疆维实	2013-01-15	16.5	2000000		
1154149	新疆维实创业投资股份有限公司	新疆维实	2013-05-21	15.75	2500000		
1154149	新疆维实创业投资股份有限公司	新疆维实	2013-05-27	16.7	3000000		
1154149	新疆维实创业投资股份有限公司	新疆维实	2013-05-30	18	1000000	48165000	0.1372
1159110	新余德信投资管理有限公司	新余德信	2013-05-10	26.35	586500		
1159110	新余德信投资管理有限公司	新余德信	2013-05-21	14.84	5000000		
1159110	新余德信投资管理有限公司	新余德信	2013-05-23	17.95	520000	21307000	0.159
1163122	华谊兄弟传媒股份有限公司	华谊兄弟	2013-05-13	58	1600000		
1163122	华谊兄弟传媒股份有限公司	华谊兄弟	2013-05-15	55	3500000	20640000	0.1261
1163814	珠海普天和平电信工业有限公司	和平电信	2010-11-30	25.34	1498200		
1163814	珠海普天和平电信工业有限公司	和平电信	2013-05-13	10.84	683314	45651600	0.209
1166649	洋浦高盛汇邦投资有限公司(以下简称“汇邦投资”)		2009-02-28		64500		
1166649	洋浦高盛汇邦投资有限公司(以下简称“汇邦投资”)		2009-03-31		4675505		
1166649	洋浦高盛汇邦投资有限公司(以下简称“汇邦投资”)		2009-04-30		746104		
1166649	洋浦高盛汇邦投资有限公司(以下简称“汇邦投资”)		2009-05-04		753900		
1166649	洋浦高盛汇邦投资有限公司(以下简称“汇邦投资”)		2009-05-11		1200000	53210971	0.0589
1168649	斯米克工业集团有限公司	斯米克工业集团	2011-03-21	13.6	1261000	202152488	0.4836
1168649	太平洋数码有限公司	太平洋数码	2011-03-24	14.18	150000		
1168649	太平洋数码有限公司	太平洋数码	2011-03-29	14.09	7800000	48953516	0.1171
1191730	深圳市创新资本投资有限公司	创新资本	2011-09-08	13.86	1146100		
1191730	深圳市创新资本投资有限公司	创新资本	2011-09-21	13	2000000		
119349	上海海欣集团股份有限公司	海欣集团	2014-07-29	5.33	29500000		
119349	上海海欣集团股份有限公司	海欣集团	2014-12-31	15.86	17000000		
